"X" "gbifID","occurrenceID","decimalLatitude","decimalLongitude","identifier","homepolygon"
"57","95",2310693429,"KU160062",-0.57,-67.4,"","Tropical & Subtropical Moist Broadleaf Forests"
"58","96",2310692789,"KU160063",-0.57,-67.4,"","Tropical & Subtropical Moist Broadleaf Forests"
"59","97",2310691471,"MF785363",5.5,-60.84,"","Tropical & Subtropical Moist Broadleaf Forests"
"60","98",2310670942,"KU159996",-4.9,-73.63,"","Tropical & Subtropical Moist Broadleaf Forests"
"61","103",2310650691,"MG220400",-6.32,-49.9,"","Tropical & Subtropical Moist Broadleaf Forests"
"62","104",2310647072,"KU159995",-4.9,-73.64,"","Tropical & Subtropical Moist Broadleaf Forests"
"63","106",2310618315,"KU160047",-1.05,-67.56,"","Tropical & Subtropical Moist Broadleaf Forests"
"64","107",2310611916,"LT630628",-10.67,-73.85,"","Tropical & Subtropical Moist Broadleaf Forests"
"67","110",2310590826,"KU159989",-3.94,-73.41,"","Tropical & Subtropical Moist Broadleaf Forests"
"68","111",2310584619,"KR081771",-22.85,-43.24,"","Tropical & Subtropical Moist Broadleaf Forests"
"69","112",2310571664,"KU159806",-2.69,-60.3,"","Tropical & Subtropical Moist Broadleaf Forests"
"70","115",2310526667,"KR081777",-22.82,-42.16,"","Tropical & Subtropical Moist Broadleaf Forests"
"71","117",2310513099,"MG220406",-6.04,-50.17,"","Tropical & Subtropical Moist Broadleaf Forests"
"72","119",2310495855,"KT208279",-23.73,-46.19,"","Tropical & Subtropical Moist Broadleaf Forests"
"73","120",2310494835,"LT630690",-9.88,-73.95,"","Tropical & Subtropical Moist Broadleaf Forests"
"74","121",2310489877,"EU872659",-3.87,-73.35,"","Tropical & Subtropical Moist Broadleaf Forests"
"75","122",2310489403,"LT630688",-10.67,-73.85,"","Tropical & Subtropical Moist Broadleaf Forests"
"76","123",2310486086,"KT208026",-23264,-44585,"","Tropical & Subtropical Moist Broadleaf Forests"
"77","126",2310457385,"JN661758",4.03,-52.68,"","Tropical & Subtropical Moist Broadleaf Forests"
"78","127",2310457351,"KU159819",-2.68,-60.3,"","Tropical & Subtropical Moist Broadleaf Forests"
"79","129",2310454530,"MF785366",3.36,-58.13,"","Tropical & Subtropical Moist Broadleaf Forests"
"80","131",2310447937,"MF786278",5.24,-60.52,"","Tropical & Subtropical Moist Broadleaf Forests"
"81","133",2310428336,"KR055895",-22.85,-43.24,"","Tropical & Subtropical Moist Broadleaf Forests"
"82","135",2310409554,"KU159815",-2.69,-60.3,"","Tropical & Subtropical Moist Broadleaf Forests"
"83","136",2310400534,"MF786180",5.81,-60.24,"","Tropical & Subtropical Moist Broadleaf Forests"
"84","137",2310394347,"LT630670",-9.88,-73.95,"","Tropical & Subtropical Moist Broadleaf Forests"
"85","138",2310389802,"KR025999",-22.82,-42.16,"","Tropical & Subtropical Moist Broadleaf Forests"
"86","139",2310386570,"LT630692",-10.03,-73.95,"","Tropical & Subtropical Moist Broadleaf Forests"
"88","144",2310351583,"KU159994",-4.9,-73.63,"","Tropical & Subtropical Moist Broadleaf Forests"
"89","145",2310350264,"KP964026",-22.85,-43.24,"","Tropical & Subtropical Moist Broadleaf Forests"
"90","146",2310339616,"LT630672",-10.03,-73.95,"","Tropical & Subtropical Moist Broadleaf Forests"
"91","149",2310331910,"KU160004",-3.48,-68.95,"","Tropical & Subtropical Moist Broadleaf Forests"
"92","151",2310328471,"KU159999",-4.91,-73.61,"","Tropical & Subtropical Moist Broadleaf Forests"
"93","153",2310324782,"LT630691",-10.03,-73.95,"","Tropical & Subtropical Moist Broadleaf Forests"
"94","155",2310316807,"KP878508",-3717,-73.2382,"","Tropical & Subtropical Moist Broadleaf Forests"
"95","159",2310303265,"KU159897",-0.58,-64.93,"","Tropical & Subtropical Moist Broadleaf Forests"
"96","160",2310297274,"MG718576",-25.08,-47.93,"","Tropical & Subtropical Moist Broadleaf Forests"
"97","161",2310291322,"LT630675",-10.62,-73.96,"","Tropical & Subtropical Moist Broadleaf Forests"
"98","163",2310282334,"JQ907459",-23.44,-45.24,"","Tropical & Subtropical Moist Broadleaf Forests"
"99","164",2310277809,"KR055891",-22.85,-43.24,"","Tropical & Subtropical Moist Broadleaf Forests"
"101","168",2310250161,"MF786353",3.37,-58.17,"","Tropical & Subtropical Moist Broadleaf Forests"
"102","169",2310229453,"KY098764",-29.19,-50.48,"","Tropical & Subtropical Moist Broadleaf Forests"
"103","171",2310225582,"MF786270",5.34,-58.98,"","Tropical & Subtropical Moist Broadleaf Forests"
"104","172",2310220944,"KU160017",-2.83,-67.9,"","Tropical & Subtropical Moist Broadleaf Forests"
"105","174",2310218482,"KR025992",-22.85,-43.24,"","Tropical & Subtropical Moist Broadleaf Forests"
"106","175",2310215594,"MF786184",5.82,-60.23,"","Tropical & Subtropical Moist Broadleaf Forests"
"107","178",2310189481,"KP964027",-22.85,-43.24,"","Tropical & Subtropical Moist Broadleaf Forests"
"108","182",2310168799,"KU160013",-2.82,-67.89,"","Tropical & Subtropical Moist Broadleaf Forests"
"109","183",2310168119,"MF786274",6.33,-60.59,"","Tropical & Subtropical Moist Broadleaf Forests"
"110","184",2310166267,"MF786131",5.48,-60.85,"","Tropical & Subtropical Moist Broadleaf Forests"
"111","185",2310165415,"KU160069",-0.57,-67.39,"","Tropical & Subtropical Moist Broadleaf Forests"
"112","188",2310120876,"JN661750",4.09,-52.67,"","Tropical & Subtropical Moist Broadleaf Forests"
"113","190",2310117330,"LT630637",-10.62,-73.96,"","Tropical & Subtropical Moist Broadleaf Forests"
"114","191",2310112534,"KU160064",-0.57,-67.4,"","Tropical & Subtropical Moist Broadleaf Forests"
"115","192",2310105337,"KR025988",-22.85,-43.24,"","Tropical & Subtropical Moist Broadleaf Forests"
"116","194",2310093335,"LT630648",-10.67,-73.85,"","Tropical & Subtropical Moist Broadleaf Forests"
"117","198",2310068374,"KR081773",-22.85,-43.24,"","Tropical & Subtropical Moist Broadleaf Forests"
"119","200",2310065999,"MG718239",-24.18,-47.92,"","Tropical & Subtropical Moist Broadleaf Forests"
"120","201",2310062282,"MF786301",5.5,-60.86,"","Tropical & Subtropical Moist Broadleaf Forests"
"121","202",2310055387,"LT630671",-9.88,-73.95,"","Tropical & Subtropical Moist Broadleaf Forests"
"122","203",2310052779,"LT630684",-10.67,-73.85,"","Tropical & Subtropical Moist Broadleaf Forests"
"123","204",2310048570,"EU872535",1.27,-68.56,"","Tropical & Subtropical Moist Broadleaf Forests"
"124","208",2310007788,"JF701702",-20.18,-49.68,"","Tropical & Subtropical Moist Broadleaf Forests"
"125","210",2310004513,"MG220402",-6.32,-49.9,"","Tropical & Subtropical Moist Broadleaf Forests"
"126","211",2310003626,"KU159818",-2.68,-60.3,"","Tropical & Subtropical Moist Broadleaf Forests"
"127","213",2309988096,"KU160060",-0.56,-67.4,"","Tropical & Subtropical Moist Broadleaf Forests"
"128","214",2309983349,"KU160058",-0.83,-67.55,"","Tropical & Subtropical Moist Broadleaf Forests"
"129","216",2309978616,"KY098765",-25.25,-50.36,"","Tropical & Subtropical Moist Broadleaf Forests"
"131","220",2309933274,"KU159817",-2.68,-60.3,"","Tropical & Subtropical Moist Broadleaf Forests"
"132","223",2309904269,"KU159816",-2.68,-60.3,"","Tropical & Subtropical Moist Broadleaf Forests"
"133","225",2309892145,"KR081776",-22.82,-42.16,"","Tropical & Subtropical Moist Broadleaf Forests"
"134","226",2309867129,"LT630622",-10.62,-73.96,"","Tropical & Subtropical Moist Broadleaf Forests"
"135","228",2309845758,"MG220404",-6.02,-50.3,"","Tropical & Subtropical Moist Broadleaf Forests"
"136","230",2309838093,"KT833593",-23.04,-48.05,"","Tropical & Subtropical Moist Broadleaf Forests"
"137","231",2309837554,"EU872662",-3.87,-73.35,"","Tropical & Subtropical Moist Broadleaf Forests"
"138","232",2309827406,"JN661748",4.09,-52.67,"","Tropical & Subtropical Moist Broadleaf Forests"
"139","235",2309793592,"MF786416",5.82,-60.23,"","Tropical & Subtropical Moist Broadleaf Forests"
"140","237",2309790735,"MF785418",5.78,-60.26,"","Tropical & Subtropical Moist Broadleaf Forests"
"141","238",2309789142,"KP878505",-3.6835,-73.2358,"","Tropical & Subtropical Moist Broadleaf Forests"
"144","245",2309762553,"KU160065",-0.57,-67.39,"","Tropical & Subtropical Moist Broadleaf Forests"
"145","247",2309747717,"KP878501",-3.6835,-73.2358,"","Tropical & Subtropical Moist Broadleaf Forests"
"146","249",2309737646,"JN661743",4.09,-52.67,"","Tropical & Subtropical Moist Broadleaf Forests"
"147","251",2309730655,"JN661755",4.03,-52.68,"","Tropical & Subtropical Moist Broadleaf Forests"
"148","252",2309718804,"MF786383",5.78,-60.26,"","Tropical & Subtropical Moist Broadleaf Forests"
"149","253",2309715213,"MG220405",-6.02,-50.3,"","Tropical & Subtropical Moist Broadleaf Forests"
"150","256",2309700967,"MF786213",5.35,-58.97,"","Tropical & Subtropical Moist Broadleaf Forests"
"151","257",2309688321,"LT630632",-9.88,-73.95,"","Tropical & Subtropical Moist Broadleaf Forests"
"152","259",2309679347,"KP878507",-3.7,-73.2588,"","Tropical & Subtropical Moist Broadleaf Forests"
"153","261",2309652024,"KR081775",-22.97,-43.22,"","Tropical & Subtropical Moist Broadleaf Forests"
