X,X.1,gbifID,occurrenceID,species,decimallongitude,decimallatitude,homepolygon,homepolygon.1,
636,1405,5295,2307476368,KJ734373,Ficus insipida,-75.06,-8.83,Tropical & Subtropical Moist Broadleaf Forests,Iquitos várzea
637,1409,5299,2307403993,KJ734505,Ficus insipida,-73.16,-4.05,Tropical & Subtropical Moist Broadleaf Forests,Iquitos várzea
638,1410,5300,2307342721,KJ734501,Ficus insipida,-72.24,-3.62,Tropical & Subtropical Moist Broadleaf Forests,Iquitos várzea
639,1412,5303,2307324008,KJ734506,Ficus insipida,-73.16,-4.05,Tropical & Subtropical Moist Broadleaf Forests,Iquitos várzea
640,1418,5310,2307077971,KJ734503,Ficus insipida,-73.17,-4.05,Tropical & Subtropical Moist Broadleaf Forests,Iquitos várzea
641,1447,5341,2306016445,KJ734500,Ficus insipida,-72.24,-3.62,Tropical & Subtropical Moist Broadleaf Forests,Iquitos várzea
642,1472,5368,2304909548,KJ734502,Ficus insipida,-72.24,-3.62,Tropical & Subtropical Moist Broadleaf Forests,Iquitos várzea
908,1244,5129,2311160833,KJ734298,Ficus insipida,-77.62,-1.06,Tropical & Subtropical Moist Broadleaf Forests,Napo moist forests
909,1248,5133,2311073170,KJ734297,Ficus insipida,-77.62,-1.06,Tropical & Subtropical Moist Broadleaf Forests,Napo moist forests
910,1262,5147,2310823154,KJ734491,Ficus insipida,-76.47,-0.69,Tropical & Subtropical Moist Broadleaf Forests,Napo moist forests
911,1325,5211,2309651500,KJ734296,Ficus insipida,-77.61,-1.06,Tropical & Subtropical Moist Broadleaf Forests,Napo moist forests
912,1327,5213,2309617185,KJ734299,Ficus insipida,-77.61,-1.06,Tropical & Subtropical Moist Broadleaf Forests,Napo moist forests
913,1375,5261,2308433573,KJ734490,Ficus insipida,-77.6,-1.06,Tropical & Subtropical Moist Broadleaf Forests,Napo moist forests
914,1383,5269,2308338764,KJ734295,Ficus insipida,-77.61,-1.06,Tropical & Subtropical Moist Broadleaf Forests,Napo moist forests
915,1385,5272,2308251933,KJ734492,Ficus insipida,-76.4,-0.66,Tropical & Subtropical Moist Broadleaf Forests,Napo moist forests
916,1389,5277,2308010308,KJ734488,Ficus insipida,-77.59,-1.06,Tropical & Subtropical Moist Broadleaf Forests,Napo moist forests
917,1399,5289,2307536323,KJ734302,Ficus insipida,-77.6,-1.06,Tropical & Subtropical Moist Broadleaf Forests,Napo moist forests
918,1407,5297,2307433900,KJ734486,Ficus insipida,-77.62,-1.06,Tropical & Subtropical Moist Broadleaf Forests,Napo moist forests
919,1415,5306,2307244668,KJ734305,Ficus insipida,-76.47,-0.69,Tropical & Subtropical Moist Broadleaf Forests,Napo moist forests
920,1420,5312,2306984131,KJ734307,Ficus insipida,-76.48,-0.7,Tropical & Subtropical Moist Broadleaf Forests,Napo moist forests
921,1429,5322,2306578968,KJ734300,Ficus insipida,-77.6,-1.06,Tropical & Subtropical Moist Broadleaf Forests,Napo moist forests
922,1436,5329,2306465148,KJ734306,Ficus insipida,-76.4,-0.66,Tropical & Subtropical Moist Broadleaf Forests,Napo moist forests
923,1448,5342,2305917952,KJ734303,Ficus insipida,-77.59,-1.06,Tropical & Subtropical Moist Broadleaf Forests,Napo moist forests
924,1452,5346,2305817583,KJ734308,Ficus insipida,-76.48,-0.7,Tropical & Subtropical Moist Broadleaf Forests,Napo moist forests
925,1460,5354,2305503508,KJ734489,Ficus insipida,-77.59,-1.06,Tropical & Subtropical Moist Broadleaf Forests,Napo moist forests
926,1473,5369,2304870540,KJ734301,Ficus insipida,-77.6,-1.06,Tropical & Subtropical Moist Broadleaf Forests,Napo moist forests
927,1479,5375,2304538814,KJ734304,Ficus insipida,-77.59,-1.06,Tropical & Subtropical Moist Broadleaf Forests,Napo moist forests
928,1484,5380,2304229713,KJ734485,Ficus insipida,-77.6,-1.06,Tropical & Subtropical Moist Broadleaf Forests,Napo moist forests
929,1485,5381,2304223604,KJ734487,Ficus insipida,-77.61,-1.06,Tropical & Subtropical Moist Broadleaf Forests,Napo moist forests
1134,1263,5148,2310805843,KJ734497,Ficus insipida,-72.84,-3.44,Tropical & Subtropical Moist Broadleaf Forests,Solimões-Japurá moist forests
1135,1268,5153,2310762094,KJ734494,Ficus insipida,-72.85,-3.44,Tropical & Subtropical Moist Broadleaf Forests,Solimões-Japurá moist forests
1136,1269,5154,2310748350,KJ734493,Ficus insipida,-72.85,-3.44,Tropical & Subtropical Moist Broadleaf Forests,Solimões-Japurá moist forests
1137,1270,5155,2310740178,KJ734313,Ficus insipida,-72.85,-3.44,Tropical & Subtropical Moist Broadleaf Forests,Solimões-Japurá moist forests
1138,1284,5169,2310448538,KJ734316,Ficus insipida,-72.84,-3.44,Tropical & Subtropical Moist Broadleaf Forests,Solimões-Japurá moist forests
1139,1285,5170,2310431585,KJ734310,Ficus insipida,-72.85,-3.44,Tropical & Subtropical Moist Broadleaf Forests,Solimões-Japurá moist forests
1140,1290,5175,2310394266,KJ734317,Ficus insipida,-72.84,-3.44,Tropical & Subtropical Moist Broadleaf Forests,Solimões-Japurá moist forests
1141,1291,5176,2310376512,KJ734495,Ficus insipida,-72.85,-3.44,Tropical & Subtropical Moist Broadleaf Forests,Solimões-Japurá moist forests
1142,1319,5205,2309777052,KJ734318,Ficus insipida,-72.85,-3.44,Tropical & Subtropical Moist Broadleaf Forests,Solimões-Japurá moist forests
1143,1322,5208,2309741221,KJ734496,Ficus insipida,-72.84,-3.44,Tropical & Subtropical Moist Broadleaf Forests,Solimões-Japurá moist forests
1144,1323,5209,2309707637,KJ734319,Ficus insipida,-72.85,-3.44,Tropical & Subtropical Moist Broadleaf Forests,Solimões-Japurá moist forests
1145,1360,5246,2308767900,KJ734314,Ficus insipida,-72.84,-3.44,Tropical & Subtropical Moist Broadleaf Forests,Solimões-Japurá moist forests
1146,1364,5250,2308685358,KJ734315,Ficus insipida,-72.84,-3.44,Tropical & Subtropical Moist Broadleaf Forests,Solimões-Japurá moist forests
1147,1370,5256,2308615074,KJ734311,Ficus insipida,-72.85,-3.44,Tropical & Subtropical Moist Broadleaf Forests,Solimões-Japurá moist forests
1148,1392,5280,2307915674,KJ734312,Ficus insipida,-72.85,-3.44,Tropical & Subtropical Moist Broadleaf Forests,Solimões-Japurá moist forests
1149,1470,5366,2304987870,KJ734309,Ficus insipida,-72.85,-3.44,Tropical & Subtropical Moist Broadleaf Forests,Solimões-Japurá moist forests
1159,1243,5128,2311161512,KJ734443,Ficus insipida,-67.46,-11.1,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1160,1245,5130,2311159427,KJ734338,Ficus insipida,-73.73,-4.91,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1161,1252,5137,2310999073,KJ734413,Ficus insipida,-71.37,-12.9,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1162,1253,5138,2310977009,KJ734446,Ficus insipida,-67.46,-11.1,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1163,1256,5141,2310928821,KJ734419,Ficus insipida,-71.37,-12.9,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1164,1258,5143,2310886303,KJ734548,Ficus insipida,-69.59,-13.1,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1165,1264,5149,2310800189,KJ734444,Ficus insipida,-67.45,-11.1,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1166,1266,5151,2310783928,KJ734546,Ficus insipida,-71.37,-12.89,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1167,1271,5156,2310734952,KJ734542,Ficus insipida,-71.36,-11.89,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1168,1274,5159,2310667106,KJ734464,Ficus insipida,-64.78,-17.1,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1169,1275,5160,2310658905,KJ734386,Ficus insipida,-75.35,-11,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1170,1276,5161,2310652986,KJ734535,Ficus insipida,-74.64,-11.16,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1171,1278,5163,2310641081,KJ734534,Ficus insipida,-74.64,-11.16,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1172,1280,5165,2310522337,KJ734459,Ficus insipida,-64.78,-17.1,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1173,1282,5167,2310457470,KJ734408,Ficus insipida,-71.36,-11.8,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1174,1288,5173,2310411800,KJ734536,Ficus insipida,-74.66,-11.18,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1175,1292,5177,2310359366,KJ734416,Ficus insipida,-71.37,-12.9,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1176,1293,5178,2310357811,KJ734418,Ficus insipida,-71.37,-12.9,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1177,1296,5181,2310320777,KJ734463,Ficus insipida,-64.78,-17.1,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1178,1299,5184,2310220401,KJ734541,Ficus insipida,-71.36,-11.89,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1179,1301,5186,2310169226,KJ734415,Ficus insipida,-71.37,-12.9,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1180,1302,5187,2310164452,KJ734337,Ficus insipida,-73.73,-4.91,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1181,1303,5188,2310138987,KJ734466,Ficus insipida,-64.78,-17.1,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1182,1306,5191,2310110308,KJ734411,Ficus insipida,-71.37,-12.9,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1183,1308,5193,2310053178,KJ734538,Ficus insipida,-74.65,-11.17,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1184,1311,5197,2309929651,KJ734441,Ficus insipida,-67.47,-11.1,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1185,1313,5199,2309909355,KJ734442,Ficus insipida,-67.5,-11.1,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1186,1317,5203,2309868757,KJ734543,Ficus insipida,-71.37,-12.9,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1187,1320,5206,2309761567,KJ734457,Ficus insipida,-64.78,-17,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1188,1321,5207,2309760388,KJ734465,Ficus insipida,-64.78,-17.1,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1189,1324,5210,2309696667,KJ734410,Ficus insipida,-71.36,-11.8,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
1190,1329,5215,2309587035,KJ734417,Ficus insipida,-71.37,-12.9,Tropical & Subtropical Moist Broadleaf Forests,Southwest Amazon moist forests
