"gbifID";"occurrenceID";"kingdom";"phylum";"class";"order";"family";"genus";"species"
"51";2310316807;"KP878508";"Plantae";"Chlorophyta";"Chlorophyceae";"Sphaeropleales";"Scenedesmaceae";"Scenedesmus";""
"52";2310303265;"KU159897";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"53";2310291322;"LT630675";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Cyperus";""
"54";2310220944;"KU160017";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"55";2310168799;"KU160013";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"56";2310165415;"KU160069";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"57";2310117330;"LT630637";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Cyperus";""
"58";2310112534;"KU160064";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"59";2310093335;"LT630648";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Cyperus";""
"60";2310055387;"LT630671";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Cyperus";""
"61";2310052779;"LT630684";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Cyperus";""
"62";2310048570;"EU872535";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"63";2310003626;"KU159818";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"64";2309988096;"KU160060";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"65";2309983349;"KU160058";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"66";2309933274;"KU159817";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"67";2309904269;"KU159816";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"68";2309867129;"LT630622";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Cyperus";""
"69";2309837554;"EU872662";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"70";2309789142;"KP878505";"Plantae";"Chlorophyta";"Chlorophyceae";"Sphaeropleales";"Scenedesmaceae";"Scenedesmus";""
"71";2309762553;"KU160065";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"72";2309747717;"KP878501";"Plantae";"Chlorophyta";"Trebouxiophyceae";"Chlorellales";"Chlorellaceae";"Chlorella";""
"73";2309688321;"LT630632";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Cyperus";""
"74";2309679347;"KP878507";"Plantae";"Chlorophyta";"Chlorophyceae";"Sphaeropleales";"Scenedesmaceae";"Scenedesmus";""
"75";2309599289;"KP878502";"Plantae";"Chlorophyta";"Trebouxiophyceae";"Chlorellales";"Chlorellaceae";"Chlorella";""
"76";2309567377;"KU160053";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"77";2309564406;"KU159809";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"78";2309540693;"KU160067";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"79";2309532856;"EU872902";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"80";2309522092;"KU160068";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"81";2309521546;"LT630649";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Cyperus";""
"82";2309464206;"KU159990";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"83";2309421099;"KP878509";"Plantae";"Chlorophyta";"Chlorophyceae";"Sphaeropleales";"Scenedesmaceae";"Scenedesmus";""
"84";2309384620;"LT630659";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Cyperus";""
"85";2309370993;"LT630679";"Plantae";"Tracheophyta";"Liliopsida";"Poales";"Cyperaceae";"Cyperus";""
"86";2309342936;"EU872759";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
"87";2309342372;"KU160012";"Plantae";"Tracheophyta";"Magnoliopsida";"Gentianales";"Rubiaceae";"Pagamea";""
